GameDate,FormattedDate,Age,YEAR,Theme,ThemeCategory5,Month,ThemeCategory6,Popular,LocationInHomestand,EVENTSCORE,NOSHOW,PCONSID,MONTHUER,TEMPAVGHIGH,TEMPAVGLOW,Item,Promo,TwoThemes,TimeofDay,Day_OF_WEEK,OPPONENT,TIX35DAYSAFTER,threefivedaysvstotal,ThemeTixRelativetoTotal,TotalTix,TICKETS,QUANTITY,PRICE,BRANDED,OPPONENTCAT,ThemeNoShow
"Monday, June 13, 2022",6/13/2022,Old,2022,Teachers Night #1,Teachers,June,ProfessionalIdentity,Y,Middle,"87	",0.33,25767,3.73,99,83,Bag,N,Y,N,Monday,PIT,153,0.09,0.0462,37398,1726,1325,13.25,N,2,0.05
"Tuesday, June 14, 2022",6/14/2022,Old,2022,Teachers Night #2,Teachers,June,ProfessionalIdentity,Y,Middle,"62	",0.5,17000,3.73,98,81,Bag,N,Y,N,Tuesday,PIT,129,0.1,0.0411,31193,1282,8000,6.48,Y,2,0.08
"Wednesday, June 15, 2022",6/15/2022,Old,2022,Star Wars,Star Wars,June,PopCulture_Entertainment,Y,Last,"97	",0.26,28651,3.73,97,80,Shirt,N,N,N,Wednesday,PIT,902,0.14,0.1625,38658,6280,750,12,Y,2,0.1
"Monday, June 27, 2022",6/27/2022,Old,2022,KSDK,Other,June,STLPride,N,Middle,"88	",0.24,25284,3.73,82,63,Shirt,N,N,N,Monday,MIA,87,0.26,0.0095,34701,330,550,8.5,N,4,0.17
"Tuesday, June 28, 2022",6/28/2022,Old,2022,Budweiser Bash #3 ,Budweiser Bash,June,Sport_FanExperience,N,Late,"72	",0.27,19514,3.73,85,65,Bobblehead,N,N,N,Tuesday,MIA,172,0.28,0.0193,32065,619,1600,8.2,N,4,0.05
"Wednesday, June 29, 2022",6/29/2022,Old,2022,Classical Music,Standalone,June,Music_Festivals,N,Last,"78	",0.24,19514,3.73,91,67,Shirt,N,N,N,Wednesday,MIA,206,0.4,0.0144,35674,514,1750,8,Y,4,0.04
"Friday, July 8, 2022",7/8/2022,Old,2022,Boy Band Night,Other,July,PopCulture_Entertainment,N,First,"147	",0.16,38831,3.67,95,79,Shirt,Y,N,N,Friday,PHI,299,0.26,0.0282,41100,1160,1000,12,Y,2,0.1
"Monday, July 11, 2022",7/11/2022,Old,2022,Shark Week,Other,July,PopCulture_Entertainment,N,Middle,"88	",0.31,25874,3.67,99,74,Bobblehead,N,N,N,Monday,PHI,200,0.12,0.0476,34399,1637,2100,15.75,N,2,0.02
"Tuesday, July 12, 2022",7/12/2022,Old,2022,Fredbird's Garage Sale,Fredbird's Garage Sale,July,Sport_FanExperience,N,Middle,"115	",0.26,33918,3.67,89,72,All,N,Y,N,Tuesday,LAD,70,0.12,0.0163,37150,833,2500,5,Y,1,0.05
"Tuesday, July 12, 2022",7/12/2022,Old,2022,Busweiser Bash #4,Budweiser Bash,July,Sport_FanExperience,N,Middle,"115	",0.26,33918,3.67,89,72,Bobblehead,N,Y,N,Tuesday,LAD,198,0.24,0.0224,37150,604,2000,5.9,N,1,0.02
"Wednesday, July 13, 2022",7/13/2022,Old,2022,DC Comics,DC Comics,July,PopCulture_Entertainment,Y,Middle,"108	",0.22,28478,3.67,91,69,Shirt,N,N,N,Wednesday,LAD,464,0.3,0.0396,39292,1554,1000,12,Y,1,0.08
"Thursday, July 14, 2022",7/14/2022,Old,2022,Christmas In July,Christmas In July,July,Music_Festivals,Y,Middle,"128	",0.21,35744,3.67,97,73,Bobblehead,N,N,N,Thursday,LAD,209,0.11,0.0483,40062,1933,1000,6.4,Y,1,0.14
"Friday, July 15, 2022",7/15/2022,Old,2022,Military Night,Military,July,ProfessionalIdentity,Y,Late,"140	",0.14,36689,3.67,93,78,Hat,Y,N,N,Friday,CIN,448,0.21,0.053,41221,2184,1000,6.4,N,1,0.05
"Tuesday, August 2, 2022",8/2/2022,Old,2022,Budweiser Bash #5,Budweiser Bash,August,Sport_FanExperience,N,First,"153	",0.16,43454,3.66,88,82,Bobblehead,N,N,N,Tuesday,CHC,184,0.21,0.0196,44344,869,2000,12.4,N,1,0.08
"Wednesday, August 3, 2022",8/3/2022,Old,2022,Illinois,Illinois,August,College,Y,Early,"155	",0.15,45000,3.66,88,73,Hat,N,N,N,Wednesday,CHC,112,0.12,0.0215,41734,899,6000,3.45,Y,1,0.13
"Thursday, August 4, 2022",8/4/2022,Old,2022,Missouri,Missouri,August,College,Y,Middle,"155	",0.15,45000,3.66,88,73,Hat,N,N,N,Thursday,CHC,118,0.13,0.0216,41734,903,1350,6.85,N,1,0.17
"Friday, August 12, 2022",8/12/2022,Old,2022,Top Gun,Standalone,August,PopCulture_Entertainment,N,First,"186	",0.12,50522,3.66,83,67,Shirt,Y,N,N,Friday,MIL,277,0.14,0.0421,45669,1922,1650,5.6,Y,2,0.02
"Sunday, August 14, 2022",8/14/2022,Old,2022,Donate Life Day,Donate Life Day,August,CommunityDays,Y,Middle,"133	",0.16,32503,3.66,84,72,Hat,Y,N,D,Sunday,MIL,170,0.1,0.0403,44142,1778,650,5.6,Y,2,0.17
"Tuesday, August 16, 2022",8/16/2022,Old,2022,WWE,Other,August,Sport_FanExperience,Y,Middle,"93	",0.35,28214,3.66,79,68,Bobblehead,N,N,N,Tuesday,COL,231,0.2,0.0291,39105,1138,1803,10.2,N,3,0.04
"Wednesday, August 17, 2022",8/17/2022,Old,2022,First Responders Night,First Responders,August,ProfessionalIdentity,N,Late,"82	",0.31,22157,3.66,84,66,Hat,N,N,N,Wednesday,COL,179,0.25,0.0185,38033,704,2050,6.5,Y,3,0.11
"Thursday, August 18, 2022",8/18/2022,Old,2022,First Responders Day,First Responders,August,ProfessionalIdentity,N,Last,"96	",0.33,28156,3.66,86,67,Hat,N,N,D,Thursday,COL,126,0.27,0.0131,36137,472,2100,5,N,3,0.17
"Friday, August 26, 2022",8/26/2022,Old,2022,Ludo,Standalone,August,Music_Festivals,Y,First,"207	",0.11,58531,3.66,88,71,Shirt,Y,N,N,Friday,ATL,354,0.21,0.0372,46027,1714,2600,6.4,Y,1,0.04
"Sunday, August 28, 2022",8/28/2022,Old,2022,Fiesta Cardenales,Fiesta Cardenales,August,CommunityDays,Y,Last,"146	",0.19,40007,3.66,93,75,Bobblehead,Y,N,N,Sunday,ATL,211,0.11,0.0455,42897,1952,1100,10,Y,1,0.04
"Monday, September 5, 2022",9/5/2022,Old,2022,African American Heritage,DEI,September,CommunityDays,N,Middle,"182	",0.13,53925,3.24,77,71,Hat,Y,N,D,Monday,WSN,83,0.08,0.0239,45779,1096,1000,4.1,Y,3,0.24
"Tuesday, September 6, 2022",9/6/2022,Old,2022,SLU,SLU,September,College,Y,Middle,"72	",0.38,19394,3.24,81,70,Hat,N,N,N,Tuesday,WSN,56,0.02,0.0651,37629,2451,300,6.8,Y,3,0.22
"Wednesday, September 7, 2022",9/7/2022,Old,2022,Golf,Other,September,Sport_FanExperience,Y,Late,"116	",0.25,311599,3.24,83,66,Item,N,N,N,Wednesday,WSN,88,0.09,0.0276,34715,958,2600,8.18,N,3,0.14
"Tuesday, September 13, 2022",9/13/2022,Old,2022,Budweiser Bash #6,Budweiser Bash,September,Sport_FanExperience,N,First,"129	",0.25,36769,3.24,82,56,Bobblehead,Y,N,N,Tuesday,MIL,161,0.23,0.0167,42047,702,5800,19.15,Y,2,0.08
"Wednesday, September 14, 2022",9/14/2022,Old,2022,KMOX,Other,September,STLPride,N,Early,"170	",0.16,47275,3.24,85,58,Shirt,N,N,N,Wednesday,MIL,104,0.33,0.0067,46459,312,1150,8.95,Y,2,0.06
"Thursday, September 15, 2022",9/15/2022,Old,2022,1/2 Way St. Pats,1/2 Way St. Pats,September,Music_Festivals,Y,Middle,"137	",0.27,38576,3.24,84,63,Longsleeve Shirt,N,N,N,Thursday,CIN,599,0.27,0.0496,44901,2225,500,1.28,N,1,0.11
"Friday, September 16, 2022",9/16/2022,Old,2022,St. Louis Blues,STL Sports,September,STLPride,Y,Middle,"221	",0.11,64939,3.24,86,64,Longsleeve Shirt,Y,N,N,Friday,CIN,1287,0.23,0.1177,47118,5548,2250,0.64,N,1,0.03
"Saturday, September 17, 2022",9/17/2022,Old,2022,Soccer,STL Sports,September,STLPride,Y,Middle,"228	",0.12,65000,3.24,88,71,Item,N,N,D,Saturday,CIN,221,0.21,0.0221,46678,1031,3250,0.64,N,1,0.09
"Monday, April 3, 2023",4/3/2023,Old,2023,Peanuts #1,Kids,April,Kids_Family,N,Middle,"107	",0.21,36638,2.96,79,57,Bobblehead,N,N,N,Monday,ATL,171,0.09,0.0491,37689,1850,0,0,N,1,0.07
"Tuesday, April 4, 2023",4/4/2023,Old,2023,College Night #1,College,April,College,N,Late,"79	",0.3,25412,2.96,85,66,Longsleeve Shirt,N,N,N,Tuesday,ATL,141,0.19,0.0208,36501,758,2000,11.1,N,1,0.22
"Thursday, April 13, 2023",4/13/2023,Old,2023,Class of 2023,Graduation,April,College,N,First,"93	",0.28,30814,2.96,80,52,Shirt,N,N,N,Thursday,PIT,170,0.22,0.02,37805,756,835,9.55,N,2,0.06
"Friday, April 14, 2023",4/14/2023,Old,2023,Friends,Other,April,PopCulture_Entertainment,Y,Early,"123	",0.14,35392,2.96,82,58,Item,Y,N,N,Friday,PIT,121,0.07,0.0446,40637,1814,1665,9.55,N,2,0.11
"Saturday, April 15, 2023",4/15/2023,Old,2023,African American Heritage,DEI,April,CommunityDays,N,Middle,"120	",0.24,35097,2.96,76,57,Shirt,Y,N,D,Saturday,PIT,159,0.23,0.0172,40042,690,800,9.55,N,2,0.11
"Sunday, April 16, 2023",4/16/2023,Old,2023,Donate Life Day,Donate Life Day,April,CommunityDays,Y,Middle,"102	",0.25,30703,2.96,56,42,Hat,Y,N,D,Sunday,PIT,130,0.08,0.0396,40346,1599,2000,14.85,N,2,0.19
"Monday, April 17, 2023",4/17/2023,Old,2023,College Night #2,College,April,College,Y,Middle,"77	",0.31,26043,2.96,67,43,Longsleeve Shirt,Y,N,N,Monday,ARI,204,0.14,0.0415,36405,1511,1150,10.35,Y,2,0.1
"Tuesday, April 18, 2023",4/18/2023,Old,2023,Budweiser Bash #1,Budweiser Bash,April,Sport_FanExperience,N,Late,"62	",0.37,19043,2.96,73,46,Bobblehead,N,N,N,Tuesday,ARI,125,0.21,0.0163,36028,589,2150,4.95,Y,2,0.08
"Tuesday, May 2, 2023",5/2/2023,Old,2023,The Home Team,Standalone,May,STLPride,N,First,"96	",0.27,30799,3.31,66,47,Shirt,Y,N,N,Tuesday,LAA,96,0.36,0.0071,37048,264,500,1.1,N,3,0.12
"Wednesday, May 3, 2023",5/3/2023,Old,2023,Nurses Night,Nurses,May,ProfessionalIdentity,Y,Early,"125	",0.16,32959,3.31,69,43,Tumbler,N,Y,N,Wednesday,LAA,110,0.06,0.0433,42148,1824,350,10.65,N,3,0.03
"Thursday, May 4, 2023",5/4/2023,Old,2023,Nurses Day #1,Nurses,May,ProfessionalIdentity,Y,Middle,"97	",0.25,28344,3.31,75,46,Tumbler,N,N,D,Thursday,LAA,74,0.09,0.0214,40508,1824,955,11.8,N,3,0.46
"Friday, May 5, 2023",5/5/2023,Old,2023,Boy Band Night,Other,May,PopCulture_Entertainment,N,Middle,"117	",0.23,31204,3.31,73,57,Shirt,Y,N,N,Friday,DET,241,0.35,0.0188,36359,684,145,11.8,N,4,0.14
"Sunday, May 7, 2023",5/7/2023,Old,2023,Sesame Street,Kids,May,Kids_Family,Y,Last,"105	",0.25,29880,3.31,93,70,Bobblehead,Y,N,D,Sunday,DET,324,0.13,0.0547,44465,2434,800,9.6,N,4,0.13
"Monday, May 15, 2023",5/15/2023,Old,2023,Cancer Awareness,Cancer Awareness,May,CommunityDays,N,First,"73	",0.34,22231,3.31,74,63,Hat,N,N,N,Monday,MIL,274,0.34,0.0231,34548,797,1500,9.33,N,2,0.13
"Tuesday, May 16, 2023",5/16/2023,Old,2023,Mental Health Awareness,Mental Health Awareness,May,CommunityDays,N,Early,"61	",0.34,16225,3.31,69,60,Hat,N,N,N,Tuesday,MIL,95,0.09,0.0306,34655,1061,1575,7.9,Y,2,0.22
"Wednesday, May 17, 2023",5/17/2023,Old,2023,Illinois,Illinois,May,College,Y,Middle,"63	",0.33,17143,3.31,82,58,Hat,N,N,N,Wednesday,MIL,78,0.09,0.0243,35433,861,1500,5.35,Y,2,0.25
"Thursday, May 18, 2023",5/18/2023,Old,2023,Budweiser Bash #2,Budweiser Bash,May,Sport_FanExperience,N,Middle,"84	",0.27,22322,3.31,83,62,Bobblehead,N,Y,N,Thursday,LAD,146,0.24,0.0168,36982,621,1100,6.4,Y,1,0.08
"Friday, May 19, 2023",5/19/2023,Old,2023,Grateful Dead,Grateful Dead,May,PopCulture_Entertainment,Y,Middle,"153	",0.17,42609,3.31,82,59,Longsleeve Shirt,Y,N,N,Friday,LAD,631,0.17,0.081,44774,3627,5500,7.15,N,1,0.1
"Sunday, May 21, 2023",5/21/2023,Old,2023,SEMO,College,May,College,N,Last,"134	",0.17,35228,3.31,77,52,Hat,Y,N,D,Sunday,LAD,71,0.1,0.0156,44721,697,750,6.4,N,1,0.12
"Monday, May 29, 2023",5/29/2023,Old,2023,Shakespeare,Other,May,Music_Festivals,N,Late,"190	",0.12,55978,3.31,86,61,Shirt,Y,N,D,Monday,KCR,165,0.32,0.0113,45911,520,600,8.05,N,2,0.09
"Tuesday, May 30, 2023",5/30/2023,Old,2023,Racing,Other,May,Sport_FanExperience,N,Last,"102	",0.22,28873,3.31,89,63,Bobblehead,N,N,N,Tuesday,KCR,127,0.18,0.0189,38406,725,750,7,Y,2,0.12
"Friday, June 9, 2023",6/9/2023,Old,2023,Pride,Pride,June,CommunityDays,Y,First,"140	",0.18,41637,3.67,83,58,Jersey,Y,N,N,Friday,CIN,610,0.19,0.0759,43238,3281,3500,9.1,Y,1,0.02
"Sunday, June 11, 2023",6/11/2023,Old,2023,Looney Tunes,Kids,June,Kids_Family,N,Middle,"109	",0.3,30093,3.67,72,63,Shirt,Y,N,D,Sunday,CIN,317,0.42,0.018,42445,762,1000,15.5,N,1,0.1
"Monday, June 12, 2023",6/12/2023,Old,2023,Teachers Night #1,Teachers,June,ProfessionalIdentity,Y,Middle,"96	",0.25,27949,3.67,74,59,Tumbler,N,Y,N,Monday,SFG,177,0.08,0.0526,40886,2150,2220,10.65,N,2,0.02
"Tuesday, June 13, 2023",6/13/2023,Old,2023,Teachers Night #2,Teachers,June,ProfessionalIdentity,Y,Late,"86	",0.27,22649,3.67,83,60,Tumbler,N,N,N,Tuesday,SFG,168,0.1,0.0425,40917,1740,875,4.65,Y,2,0.01
"Tuesday, June 27, 2023",6/27/2023,Old,2023,Budweiser Bash #3 ,Budweiser Bash,June,Sport_FanExperience,N,Middle,"113	",0.26,32800,3.67,88,68,Bobblehead,Y,N,N,Tuesday,HOU,138,0.26,0.0127,41512,526,7250,4.4,N,2,0.11
"Wednesday, June 28, 2023",6/28/2023,Old,2023,Star Wars,Star Wars,June,PopCulture_Entertainment,Y,Middle,"99	",0.31,30059,3.67,92,70,Hat,N,N,N,Wednesday,HOU,347,0.07,0.1247,41452,5167,2000,9.25,N,2,0.09
"Thursday, June 29, 2023",6/29/2023,Old,2023,Emily Henry,Standalone,June,PopCulture_Entertainment,N,Middle,"103	",0.31,30370,3.67,94,77,Shirt,N,Y,N,Thursday,HOU,218,0.31,0.0166,42504,1423,2750,4.9,Y,2,0.14
"Thursday, June 29, 2023",6/29/2023,Old,2023,Yellowstone,Standalone,June,Music_Festivals,N,Middle,"103	",0.31,30370,3.67,94,77,Bobblehead,N,Y,N,Thursday,HOU,186,0.13,0.0335,42504,704,1000,6.55,N,2,0.11
"Friday, July 14, 2023",7/14/2023,Old,2023,Soccer,STL Sports,July,STLPride,Y,First,"100	",0.31,27844,3.67,88,72,Hat,Y,N,D,Friday,WSN,200,0.08,0.0624,41900,2615,2250,6.7,Y,3,0.07
